gene_id	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DE_02	DE_03	DE_05	DE_11	DE_12	DE_13	DE_14	DE_15
TRINITY_DN11796_c0_g1_i1	HOL01	HOL03	1726.13398894073	0	647.300245852775	13.3364316640994	1.01631162270995	13.1223842826261	2.45100424481331e-39	1.2512989420833098e-35	1278	1993	1638	0	0	0	0	0
TRINITY_DN12784_c0_g1_i2	HOL01	HOL03	933.963745299558	0	350.236404487334	12.450242650403	1.00255797290657	12.4184765239139	2.07474759463415e-35	4.88866391884893e-32	741	1002	901	0	0	0	0	0
TRINITY_DN112956_c0_g1_i1	HOL01	HOL03	800.569303183028	0	300.213488693635	12.2279240645037	0.98569031107429	12.4054420816784	2.44161428508322e-35	5.54002281285383e-32	655	889	733	0	0	0	0	0
TRINITY_DN12784_c0_g1_i4	HOL01	HOL03	797.600448901572	0	299.10016833809	12.2228557403067	1.00999633224623	12.1018813138887	1.0321819143019499e-33	1.64506992945824e-30	689	1070	562	0	0	0	0	0
TRINITY_DN12784_c0_g1_i3	HOL01	HOL03	3835.80237096185	0	1438.42588911069	14.4884101403461	1.19732082811737	12.1006916442999	1.0472508242964099e-33	1.64506992945824e-30	2267	3345	4935	0	0	0	0	0
TRINITY_DN10515_c0_g1_i1	HOL01	HOL03	1029.15540804563	0	385.933278017113	12.5902435059434	1.06476650848818	11.8244172835787	2.91921369074947e-32	3.56363204366132e-29	764	980	1130	0	0	0	0	0
TRINITY_DN11875_c0_g1_i2	HOL01	HOL03	45851.2957450336	0	17194.2359043876	18.0677695585914	1.52956598958201	11.8123504848123	3.37006237439413e-32	3.97038713927899e-29	15630	29040	76906	0	0	0	0	0
TRINITY_DN114519_c0_g1_i1	HOL01	HOL03	439.687427019486	0	164.882785132307	11.3635142898785	0.962476486530733	11.8065370415838	3.61130872918171e-32	4.1743322014313e-29	398	499	362	0	0	0	0	0
TRINITY_DN1032_c3_g1_i1	HOL01	HOL03	6363.73196511448	0	2386.39948691793	15.2187602922435	1.30439143007041	11.6673261885982	1.8721512851195497e-31	1.9439593928860798e-28	3459	4617	9139	0	0	0	0	0
TRINITY_DN12784_c0_g1_i1	HOL01	HOL03	2843.26922526603	0	1066.22595947476	14.0564214198527	1.21127050711503	11.60469221143	3.9008862949502598e-31	3.9177048702875097e-28	1678	2395	3723	0	0	0	0	0
TRINITY_DN1019855_c0_g1_i1	HOL01	HOL03	368.466942580496	0	138.175103467686	11.1086532983154	0.964410222619314	11.5185976234725	1.06327405778884e-30	1.01780247816121e-27	371	400	285	0	0	0	0	0
TRINITY_DN114483_c0_g1_i1	HOL01	HOL03	411.558367620664	0	154.334387857749	11.2683892201105	0.980102533452134	11.497153446202	1.36337890175357e-30	1.26552547966862e-27	425	470	292	0	0	0	0	0
TRINITY_DN10618_c0_g1_i2	HOL01	HOL03	797.457506479803	0	299.046564929926	12.222564210592	1.10212270564702	11.090021236262	1.40254464947029e-28	9.23914976994604e-26	901	1038	405	0	0	0	0	0
TRINITY_DN1030_c0_g1_i15	HOL01	HOL03	446.454490032282	0	167.420433762106	11.3856159485716	1.05678632040875	10.773810872351	4.57657328685484e-27	2.3760560107846402e-24	565	435	284	0	0	0	0	0
TRINITY_DN10618_c0_g1_i3	HOL01	HOL03	416.396902545591	0	156.148838454597	11.2845645371294	1.0515926078746	10.7309279778383	7.28607722880992e-27	3.5997334618433996e-24	394	336	430	0	0	0	0	0
TRINITY_DN12096_c0_g1_i4	HOL01	HOL03	232.725535763225	0	87.2720759112095	10.4452330011812	0.975681695943117	10.7055744149065	9.58344486894092e-27	4.62291797642463e-24	233	230	198	0	0	0	0	0
TRINITY_DN1342_c6_g1_i3	HOL01	HOL03	748.477694966282	0	280.679135612356	12.1307828752261	1.17136723629177	10.356088594068	3.9269368857038003e-25	1.47592597809124e-22	472	651	939	0	0	0	0	0
TRINITY_DN11005_c0_g1_i1	HOL01	HOL03	671.555302774095	0	251.833238540286	11.9742873173055	1.163250770529	10.293814215021	7.513962195195279e-25	2.6763248021177197e-22	486	516	840	0	0	0	0	0
TRINITY_DN12568_c1_g1_i1	HOL01	HOL03	1387.98261838174	0	520.493481893151	13.0218248276687	1.28126991119063	10.1632175343664	2.8936623035486996e-24	9.13785740733525e-22	709	1156	1921	0	0	0	0	0
TRINITY_DN11875_c0_g1_i1	HOL01	HOL03	4581.96666956167	0	1718.23750108562	14.7448418498428	1.45355348866085	10.1439967396227	3.5238046571449e-24	1.10142267709524e-21	2111	2644	7410	0	0	0	0	0
TRINITY_DN11054_c0_g1_i1	HOL01	HOL03	9128.7318166738	0	3423.27443125267	15.7392915349216	1.55546521151142	10.1187036639848	4.56420508920782e-24	1.41220654737444e-21	2980	5576	15577	0	0	0	0	0
TRINITY_DN10063_c0_g1_i3	HOL01	HOL03	168.025747372833	0	63.0096552648124	9.97592179970752	1.00182682583058	9.95773075994132	2.3332753548353598e-23	6.4388940569044604e-21	135	208	140	0	0	0	0	0
TRINITY_DN115_c0_g1_i1	HOL01	HOL03	444.625904026914	0	166.734714010093	11.3792592379094	1.1536579293278	9.86363370686473	5.984360077701179e-23	1.5275827143341997e-20	343	331	546	0	0	0	0	0
TRINITY_DN11467_c0_g1_i1	HOL01	HOL03	1074.00094532583	0	402.750354497186	12.6517923053255	1.28509158591007	9.8450510796597	7.20026432103626e-23	1.77152527349255e-20	708	678	1512	0	0	0	0	0
TRINITY_DN111873_c0_g1_i1	HOL01	HOL03	262.046040623155	0	98.267265233683	10.6172172373546	1.07895328888503	9.8402936871588	7.54901458897216e-23	1.83512680892036e-20	187	388	191	0	0	0	0	0
TRINITY_DN100212_c0_g1_i2	HOL01	HOL03	232.37827495223	0	87.1418531070864	10.4428864454266	1.06127969860008	9.83990031958742	7.57858875107081e-23	1.83512680892036e-20	175	224	251	0	0	0	0	0
TRINITY_DN12784_c0_g1_i7	HOL01	HOL03	1516.76788038007	0	568.787955142525	13.1498359310762	1.33746462346708	9.83191308416679	8.20451631351497e-23	1.9745587982712698e-20	794	1055	2238	0	0	0	0	0
TRINITY_DN13273_c0_g1_i2	HOL01	HOL03	666.230016081526	0	249.836256030572	11.9628088337471	1.21991298438456	9.80628043711022	1.0579658683736799e-22	2.46441684388505e-20	478	454	880	0	0	0	0	0
TRINITY_DN10442_c0_g1_i2	HOL01	HOL03	252.599387736416	0	94.7247704011561	10.5633197104703	1.07846162862617	9.79480347754861	1.18527681438428e-22	2.74013635772167e-20	184	241	280	0	0	0	0	0
