gene_id	DE_03	DE_05	DE_11	DE_12	DE_13	DE_14	DE_15_1	DE_15_2
NA	13	8	31	0	0	0	0	0
NA	15	37	62	0	0	0	0	0
NA	2	0	4	12	19	22	8	15
NA	75	27	10	229	109	146	179	292
NA	48	44	60	0	0	0	0	0
NA	56	52	5	0	0	0	0	0
NA	144	163	255	0	0	0	0	0
NA	16	22	39	0	0	0	0	0
NA	0	147	140	0	0	0	0	0
NA	472	651	939	0	0	0	0	0
NA	19	30	68	0	0	0	0	0
NA	257	373	662	0	0	0	0	0
NA	11	25	41	0	0	0	0	0
NA	42	50	110	0	0	0	0	0
NA	372	405	817	0	0	0	0	0
NA	33	37	112	0	0	0	0	0
NA	36	53	135	0	0	0	0	0
NA	54	45	140	0	0	0	0	0
NA	9	15	25	0	0	0	0	0
NA	50	117	205	0	0	0	0	0
NA	4	0	0	21	22	6	6	36
NA	60	62	175	0	0	0	0	0
NA	377	574	1145	0	0	0	0	0
NA	17	32	44	0	0	0	0	0
NA	52	37	114	0	0	0	0	0
NA	29	50	68	0	0	0	0	0
NA	146	144	441	0	0	0	0	0
NA	31	30	93	0	0	0	0	0
NA	13	22	57	0	0	0	0	0
NA	38	42	84	0	0	0	0	0
NA	84	87	178	0	0	0	0	0
NA	120	172	395	0	0	0	0	0
NA	77	107	131	0	0	0	0	0
NA	101	161	257	0	0	0	0	0
NA	0	423	597	0	0	0	0	0
NA	61	65	131	0	0	0	0	0
NA	78	124	219	0	0	0	0	0
NA	732	1422	3179	0	0	0	0	0
NA	40	63	156	0	0	0	0	0
NA	32	43	67	0	0	0	0	0
NA	45	36	121	0	0	0	0	0
NA	184	237	45	0	0	0	0	0
NA	15630	29040	76906	0	0	0	0	0
NA	153	173	224	0	0	0	0	0
NA	0	1	3	53	3	36	21	15
NA	76	100	203	0	0	0	0	0
NA	55	53	130	0	0	0	0	0
NA	0	0	2	8	10	39	7	29
NA	166	280	846	0	0	0	0	0
NA	43	22	72	0	0	0	0	0
NA	0	0	0	6	15	13	6	8
NA	72	86	288	0	0	0	0	0
NA	197	269	634	0	0	0	0	0
NA	59	71	178	0	0	0	0	0
NA	102	87	189	0	0	0	0	0
NA	9	15	34	0	0	0	0	0
