mode,comparison,jaccard,n_goseq,n_consensus
no_bg,top50_all,0,23,50
no_bg,all_significant_BP,0.102,13,127
no_bg,all_significant_MF,0.056,8,143
no_bg,all_significant_CC,0.021,2,94
no_bg,top50_depth3,1,2,2
no_bg,top50_depth4,0.667,2,3
no_bg,top50_depth2,0.667,2,3
no_bg,top50_depth17,1,1,1
no_bg,top50_depth23,1,1,1
no_bg,top50_depth5,0.6,3,5
no_bg,top50_depth7,1,3,3
no_bg,top50_depth15,1,2,2
no_bg,top50_depth13,1,2,2
no_bg,top50_depth21,1,1,1
no_bg,top50_depth16,1,1,1
no_bg,top50_depth9,1,1,1
no_bg,top50_depth8,1,2,2
