query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,fold_enrichment,depth,species_code,species_label
query_1,TRUE,4.120409098400103e-6,359,28,9,0.32142857142857145,0.025069637883008356,GO:0043436,GO:BP,oxoacid metabolic process,14094,10596,,"IEA,IEA,IBA IEA,IBA,IEA,IBA,IBA IEA,IBA IEA,IEA","PGAM2,GFPT1,ACADM,ACADS,CBR4,SDSL,MCAT,MTRR,ACSF2",12.618981297254278,6,drerio,drerio
query_1,TRUE,4.120409098400103e-6,357,28,9,0.32142857142857145,0.025210084033613446,GO:0019752,GO:BP,carboxylic acid metabolic process,14094,6004,,"IEA,IEA,IBA IEA,IBA,IEA,IBA,IBA IEA,IBA IEA,IEA","PGAM2,GFPT1,ACADM,ACADS,CBR4,SDSL,MCAT,MTRR,ACSF2",12.68967587034814,7,drerio,drerio
query_1,TRUE,4.697509423833025e-6,382,28,9,0.32142857142857145,0.02356020942408377,GO:0006082,GO:BP,organic acid metabolic process,14094,1943,,"IEA,IEA,IBA IEA,IBA,IEA,IBA,IBA IEA,IBA IEA,IEA","PGAM2,GFPT1,ACADM,ACADS,CBR4,SDSL,MCAT,MTRR,ACSF2",11.859199700822739,5,drerio,drerio
query_1,TRUE,2.6369144205160472e-5,830,28,11,0.39285714285714285,0.01325301204819277,GO:0044281,GO:BP,small molecule metabolic process,14094,10850,,"IMP IBA IEA,IEA,IBA IEA,IBA IEA,IBA,IEA,IDA,IBA,IBA IEA,IBA IEA,IEA","GALT,PGAM2,GFPT1,ACADM,ACADS,CBR4,RDH5,SDSL,MCAT,MTRR,ACSF2",6.670998278829604,2,drerio,drerio
query_1,TRUE,2.4465422427031317e-4,648,28,9,0.32142857142857145,0.013888888888888888,GO:0006629,GO:BP,lipid metabolic process,14094,2334,,"IMP,IBA IEA,IBA,IEA,IDA IBA,IBA,IBA IEA,IEA,IBA IEA","NPC1,ACADM,ACADS,CBR4,RDH5,CHKB,MCAT,ACSF2,LIPH",6.991071428571429,3,drerio,drerio
query_1,TRUE,2.9277811977818265e-4,221,28,6,0.21428571428571427,0.027149321266968326,GO:0032787,GO:BP,monocarboxylic acid metabolic process,14094,7765,,"IEA,IBA IEA,IBA,IEA,IBA IEA,IEA","PGAM2,ACADM,ACADS,CBR4,MCAT,ACSF2",13.665804783451842,8,drerio,drerio
query_1,TRUE,4.711245369110251e-4,140,28,5,0.17857142857142858,0.03571428571428571,GO:0006631,GO:BP,fatty acid metabolic process,14094,2335,,"IBA IEA,IBA,IEA,IBA IEA,IEA","ACADM,ACADS,CBR4,MCAT,ACSF2",17.977040816326532,12,drerio,drerio
query_1,TRUE,0.005733168542112855,125,28,4,0.14285714285714285,0.032,GO:0044282,GO:BP,small molecule catabolic process,14094,10851,,"IMP IBA,IBA IEA,IBA,IBA","GALT,ACADM,ACADS,SDSL",16.10742857142857,4,drerio,drerio
query_1,TRUE,0.006374439089712979,1049,28,9,0.32142857142857145,0.008579599618684462,GO:0009056,GO:BP,catabolic process,14094,3218,,"IBA,IBA,IMP IBA,IEA,IBA,IBA IEA,IBA,IBA,IBA IEA","PSMD7,CALR,GALT,PGAM2,SMOX,ACADM,ACADS,SDSL,LIPH",4.318602750919243,2,drerio,drerio
query_1,TRUE,0.031174024634283894,97,28,3,0.10714285714285714,0.030927835051546393,GO:0046395,GO:BP,carboxylic acid catabolic process,14094,11957,,"IBA IEA,IBA,IBA","ACADM,ACADS,SDSL",15.567746686303385,12,drerio,drerio
query_1,TRUE,0.031174024634283894,226,28,4,0.14285714285714285,0.017699115044247787,GO:0044283,GO:BP,small molecule biosynthetic process,14094,10852,,"IDA,IBA,IBA IEA,IBA IEA","RDH5,SDSL,MCAT,MTRR",8.908975979772439,4,drerio,drerio
query_1,TRUE,0.031174024634283894,97,28,3,0.10714285714285714,0.030927835051546393,GO:0016054,GO:BP,organic acid catabolic process,14094,5062,,"IBA IEA,IBA,IBA","ACADM,ACADS,SDSL",15.567746686303385,9,drerio,drerio
query_1,TRUE,0.031174024634283894,95,28,3,0.10714285714285714,0.031578947368421054,GO:0170039,GO:BP,proteinogenic amino acid metabolic process,14094,20026,,"IEA,IBA,IBA IEA","GFPT1,SDSL,MTRR",15.89548872180451,10,drerio,drerio
query_1,TRUE,0.031174024634283894,97,28,3,0.10714285714285714,0.030927835051546393,GO:0170033,GO:BP,L-amino acid metabolic process,14094,20020,,"IEA,IBA,IBA IEA","GFPT1,SDSL,MTRR",15.567746686303385,11,drerio,drerio
query_1,TRUE,0.03165068303962814,26,28,2,0.07142857142857142,0.07692307692307693,GO:0006635,GO:BP,fatty acid beta-oxidation,14094,2338,,"IEA,IBA","ACADM,ACADS",38.71978021978022,25,drerio,drerio
query_1,TRUE,0.03165068303962814,103,28,3,0.10714285714285714,0.02912621359223301,GO:1901605,GO:BP,alpha-amino acid metabolic process,14094,21311,,"IEA,IBA,IBA IEA","GFPT1,SDSL,MTRR",14.660887656033285,10,drerio,drerio
query_1,TRUE,0.03165068303962814,26,28,2,0.07142857142857142,0.07692307692307693,GO:0009066,GO:BP,aspartate family amino acid metabolic process,14094,3228,,"IBA,IBA IEA","SDSL,MTRR",38.71978021978022,13,drerio,drerio
query_1,TRUE,0.032486716973586245,121,28,3,0.10714285714285714,0.024793388429752067,GO:0016042,GO:BP,lipid catabolic process,14094,5052,,"IBA IEA,IBA,IBA IEA","ACADM,ACADS,LIPH",12.479929161747345,5,drerio,drerio
query_1,TRUE,0.032486716973586245,1,28,1,0.03571428571428571,1,GO:0032380,GO:BP,regulation of intracellular sterol transport,14094,7481,,IMP,NPC1,503.35714285714283,26,drerio,drerio
query_1,TRUE,0.032486716973586245,126,28,3,0.10714285714285714,0.023809523809523808,GO:0046394,GO:BP,carboxylic acid biosynthetic process,14094,11956,,"IBA,IBA IEA,IBA IEA","SDSL,MCAT,MTRR",11.98469387755102,12,drerio,drerio
query_1,TRUE,0.032486716973586245,1,28,1,0.03571428571428571,1,GO:0032383,GO:BP,regulation of intracellular cholesterol transport,14094,7484,,IMP,NPC1,503.35714285714283,30,drerio,drerio
query_1,TRUE,0.032486716973586245,1,28,1,0.03571428571428571,1,GO:0046359,GO:BP,butyrate catabolic process,14094,11926,,IBA,ACADS,503.35714285714283,25,drerio,drerio
query_1,TRUE,0.032486716973586245,1,28,1,0.03571428571428571,1,GO:0032377,GO:BP,regulation of intracellular lipid transport,14094,7478,,IMP,NPC1,503.35714285714283,21,drerio,drerio
query_1,TRUE,0.032486716973586245,1,28,1,0.03571428571428571,1,GO:0035855,GO:BP,megakaryocyte development,14094,9219,,IMP,NPC1,503.35714285714283,11,drerio,drerio
query_1,TRUE,0.032486716973586245,1,28,1,0.03571428571428571,1,GO:0019605,GO:BP,butyrate metabolic process,14094,5898,,IBA,ACADS,503.35714285714283,14,drerio,drerio
query_1,TRUE,0.032486716973586245,30,28,2,0.07142857142857142,0.06666666666666667,GO:0019395,GO:BP,fatty acid oxidation,14094,5722,,"IEA,IBA","ACADM,ACADS",33.55714285714286,15,drerio,drerio
query_1,TRUE,0.032486716973586245,128,28,3,0.10714285714285714,0.0234375,GO:0016053,GO:BP,organic acid biosynthetic process,14094,5061,,"IBA,IBA IEA,IBA IEA","SDSL,MCAT,MTRR",11.797433035714285,9,drerio,drerio
query_1,TRUE,0.032486716973586245,1,28,1,0.03571428571428571,1,GO:0035238,GO:BP,vitamin A biosynthetic process,14094,8854,,IDA,RDH5,503.35714285714283,24,drerio,drerio
query_1,TRUE,0.03359469305783877,35,28,2,0.07142857142857142,0.05714285714285714,GO:0034440,GO:BP,lipid oxidation,14094,8570,,"IEA,IBA","ACADM,ACADS",28.76326530612245,8,drerio,drerio
query_1,TRUE,0.03626096044812615,37,28,2,0.07142857142857142,0.05405405405405406,GO:0009062,GO:BP,fatty acid catabolic process,14094,3224,,"IBA IEA,IBA","ACADM,ACADS",27.20849420849421,21,drerio,drerio
query_1,TRUE,0.03773022526159995,39,28,2,0.07142857142857142,0.05128205128205128,GO:0072329,GO:BP,monocarboxylic acid catabolic process,14094,17118,,"IBA IEA,IBA","ACADM,ACADS",25.81318681318681,14,drerio,drerio
query_1,TRUE,0.03773022526159995,141,28,3,0.10714285714285714,0.02127659574468085,GO:0006520,GO:BP,amino acid metabolic process,14094,2233,,"IEA,IBA,IBA IEA","GFPT1,SDSL,MTRR",10.709726443768995,3,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0044241,GO:BP,lipid digestion,14094,10840,,IBA,NPC1,251.67857142857142,3,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0046208,GO:BP,spermine catabolic process,14094,11811,,IBA,SMOX,251.67857142857142,10,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0033499,GO:BP,"galactose catabolic process via UDP-galactose, Leloir pathway",14094,8182,,IMP IBA,GALT,251.67857142857142,14,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0050667,GO:BP,homocysteine metabolic process,14094,13030,,IBA,MTRR,251.67857142857142,14,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0030299,GO:BP,intestinal cholesterol absorption,14094,6721,,IBA,NPC1,251.67857142857142,8,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0030219,GO:BP,megakaryocyte differentiation,14094,6690,,IMP,NPC1,251.67857142857142,9,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0044571,GO:BP,[2Fe-2S] cluster assembly,14094,10942,,IEA,NFS1,251.67857142857142,8,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0051791,GO:BP,medium-chain fatty acid metabolic process,14094,13744,,IBA,ACADM,251.67857142857142,13,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0051793,GO:BP,medium-chain fatty acid catabolic process,14094,13746,,IBA,ACADM,251.67857142857142,23,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0019388,GO:BP,galactose catabolic process,14094,5717,,IMP IBA,GALT,251.67857142857142,13,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0008356,GO:BP,asymmetric cell division,14094,3162,,IMP,ANLN,251.67857142857142,3,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0006565,GO:BP,L-serine catabolic process,14094,2276,,IBA,SDSL,251.67857142857142,25,drerio,drerio
query_1,TRUE,0.03783708722213478,43,28,2,0.07142857142857142,0.046511627906976744,GO:1901607,GO:BP,alpha-amino acid biosynthetic process,14094,21313,,"IBA,IBA IEA","SDSL,MTRR",23.411960132890364,17,drerio,drerio
query_1,TRUE,0.03783708722213478,2,28,1,0.03571428571428571,0.5,GO:0097354,GO:BP,prenylation,14094,18379,,IEA,FNTB,251.67857142857142,4,drerio,drerio
query_1,TRUE,0.03783708722213478,46,28,2,0.07142857142857142,0.043478260869565216,GO:0008652,GO:BP,amino acid biosynthetic process,14094,3209,,"IBA,IBA IEA","SDSL,MTRR",21.88509316770186,5,drerio,drerio
query_1,TRUE,0.04758857273443873,3,28,1,0.03571428571428571,0.3333333333333333,GO:0032371,GO:BP,regulation of sterol transport,14094,7472,,IMP,NPC1,167.78571428571428,15,drerio,drerio
query_1,TRUE,0.04758857273443873,3,28,1,0.03571428571428571,0.3333333333333333,GO:0032374,GO:BP,regulation of cholesterol transport,14094,7475,,IMP,NPC1,167.78571428571428,17,drerio,drerio
query_1,TRUE,0.04758857273443873,3,28,1,0.03571428571428571,0.3333333333333333,GO:0006048,GO:BP,UDP-N-acetylglucosamine biosynthetic process,14094,1911,,IEA,GFPT1,167.78571428571428,23,drerio,drerio
query_1,TRUE,0.04758857273443873,3,28,1,0.03571428571428571,0.3333333333333333,GO:0009097,GO:BP,isoleucine biosynthetic process,14094,3255,,IBA,SDSL,167.78571428571428,21,drerio,drerio
query_1,TRUE,0.04758857273443873,3,28,1,0.03571428571428571,0.3333333333333333,GO:0046459,GO:BP,short-chain fatty acid metabolic process,14094,12002,,IBA,ACADS,167.78571428571428,13,drerio,drerio
query_1,TRUE,0.04758857273443873,3,28,1,0.03571428571428571,0.3333333333333333,GO:0006549,GO:BP,isoleucine metabolic process,14094,2261,,IBA,SDSL,167.78571428571428,12,drerio,drerio
query_1,TRUE,0.04758857273443873,3,28,1,0.03571428571428571,0.3333333333333333,GO:0019626,GO:BP,short-chain fatty acid catabolic process,14094,5918,,IBA,ACADS,167.78571428571428,23,drerio,drerio
query_1,TRUE,0.04758857273443873,54,28,2,0.07142857142857142,0.037037037037037035,GO:0016052,GO:BP,carbohydrate catabolic process,14094,5060,,"IMP IBA,IEA","GALT,PGAM2",18.642857142857142,5,drerio,drerio
query_1,TRUE,0.04758857273443873,3,28,1,0.03571428571428571,0.3333333333333333,GO:0006012,GO:BP,galactose metabolic process,14094,1883,,IMP IBA IEA,GALT,167.78571428571428,7,drerio,drerio
query_1,FALSE,0.05819472434842161,4,28,1,0.03571428571428571,0.25,GO:0098856,GO:BP,intestinal lipid absorption,14094,18664,,IBA,NPC1,125.83928571428571,6,drerio,drerio
query_1,FALSE,0.05819472434842161,4,28,1,0.03571428571428571,0.25,GO:0008215,GO:BP,spermine metabolic process,14094,3128,,IBA,SMOX,125.83928571428571,5,drerio,drerio
query_1,FALSE,0.05819472434842161,4,28,1,0.03571428571428571,0.25,GO:0009082,GO:BP,branched-chain amino acid biosynthetic process,14094,3241,,IBA,SDSL,125.83928571428571,16,drerio,drerio
query_1,FALSE,0.05819472434842161,4,28,1,0.03571428571428571,0.25,GO:0009071,GO:BP,serine family amino acid catabolic process,14094,3233,,IBA,SDSL,125.83928571428571,23,drerio,drerio
query_1,FALSE,0.05819472434842161,4,28,1,0.03571428571428571,0.25,GO:0046349,GO:BP,amino sugar biosynthetic process,14094,11918,,IEA,GFPT1,125.83928571428571,6,drerio,drerio
query_1,FALSE,0.06519265545133557,5,28,1,0.03571428571428571,0.2,GO:0031106,GO:BP,septin ring organization,14094,6994,,IBA,ANLN,100.67142857142858,7,drerio,drerio
