query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,fold_enrichment,depth,species_code,species_label
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046165,GO:BP,alcohol biosynthetic process,92,11773,,ISO,SCP2,1,8,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046185,GO:BP,aldehyde catabolic process,92,11792,,ISS IEA,ALDH2,1,7,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046189,GO:BP,phenol-containing compound biosynthetic process,92,11796,,IMP,ALDH2,1,6,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046208,GO:BP,spermine catabolic process,92,11811,,IDA ISO IBA IEA,SMOX,1,10,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046209,GO:BP,nitric oxide metabolic process,92,11812,,ISS IEA,CLU,1,3,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046337,GO:BP,phosphatidylethanolamine metabolic process,92,11906,,ISS IBA IEA,CHKB,1,13,mmusculus,mmusculus
query_1,FALSE,1,2,92,2,0.021739130434782608,1,GO:0046349,GO:BP,amino sugar biosynthetic process,92,11918,,"ISS ISO IEA,IEA","GFPT1,GFPT2",1,6,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046359,GO:BP,butyrate catabolic process,92,11926,,ISO IBA,ACADS,1,25,mmusculus,mmusculus
query_1,FALSE,1,2,92,2,0.021739130434782608,1,GO:0046364,GO:BP,monosaccharide biosynthetic process,92,11931,,"ISO IEA,IMP","PGAM2,ACADM",1,9,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046365,GO:BP,monosaccharide catabolic process,92,11932,,IDA,PGAM2,1,9,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046164,GO:BP,alcohol catabolic process,92,11772,,IEA,ALDH2,1,8,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046390,GO:BP,ribose phosphate biosynthetic process,92,11953,,ISS IEA,COX11,1,12,mmusculus,mmusculus
query_1,FALSE,1,9,92,9,0.09782608695652174,1,GO:0046395,GO:BP,carboxylic acid catabolic process,92,11957,,"IMP ISS ISO IBA IEA,ISO IBA IEA,IBA,IDA,ISS ISO,ISO IC,IEA,IEA,IEA","ACADM,ACADS,SDSL,CRYL1,SCP2,ECI3,MTRR,AIG1,ECH1",1,12,mmusculus,mmusculus
query_1,FALSE,1,2,92,2,0.021739130434782608,1,GO:0046434,GO:BP,organophosphate catabolic process,92,11977,,"IDA IEA,IBA IEA","PGAM2,ENPP3",1,7,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046456,GO:BP,icosanoid biosynthetic process,92,11999,,IEA,HPGDS,1,14,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046457,GO:BP,prostanoid biosynthetic process,92,12000,,IEA,HPGDS,1,26,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046459,GO:BP,short-chain fatty acid metabolic process,92,12002,,ISO IBA,ACADS,1,13,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046467,GO:BP,membrane lipid biosynthetic process,92,12010,,IMP,ATG7,1,11,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046470,GO:BP,phosphatidylcholine metabolic process,92,12013,,IMP IBA IEA,CHKB,1,13,mmusculus,mmusculus
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0046474,GO:BP,glycerophospholipid biosynthetic process,92,12016,,IMP ISS IBA IEA,CHKB,1,19,mmusculus,mmusculus
