"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability","origin"
"GO:0043170",28,"GO:0043170",292.205029597147,9579,"macromolecule metabolic process","macromolecule metabolic process",0.87313184079602,0.488461538461539,0,"GO terms - Consensus (no BG)"
"GO:0065007",68,"GO:0065007",263.718555507063,13267,"biological regulation","biological regulation",0.934446517412935,0.64,0,"GO terms - Consensus (no BG)"
"GO:0050789",68,"GO:0065007",243.486198022606,12842,"regulation of biological process","biological regulation",0.92781592039801,0.6182,0.565,"GO terms - Consensus (no BG)"
"GO:0050794",68,"GO:0065007",214.576328306566,12182,"regulation of cellular process","biological regulation",0.903493781094527,0.6156,0.521,"GO terms - Consensus (no BG)"
"GO:0006139",15,"GO:0006139",170.265948547868,5523,"nucleobase-containing compound metabolic process","nucleobase-containing compound metabolic process",0.847945273631841,0.471387096774194,0,"GO terms - Consensus (no BG)"
"GO:0019538",31,"GO:0019538",159.059860463079,5137,"protein metabolic process","protein metabolic process",0.866767412935323,0.4645,0,"GO terms - Consensus (no BG)"
"GO:0009058",28,"GO:0043170",156.493390515515,8050,"biosynthetic process","macromolecule metabolic process",0.875926616915423,0.444538461538462,0.549,"GO terms - Consensus (no BG)"
"GO:0071840",12,"GO:0071840",155.858266709366,7089,"cellular component organization or biogenesis","cellular component organization or biogenesis",0.901330845771144,0.515166666666667,0,"GO terms - Consensus (no BG)"
"GO:0044249",28,"GO:0043170",153.485614534675,7606,"cellular biosynthetic process","macromolecule metabolic process",0.858512437810945,0.432615384615385,0.538,"GO terms - GOseq only"
"GO:0090304",15,"GO:0006139",147.058675281925,4943,"nucleic acid metabolic process","nucleobase-containing compound metabolic process",0.839621890547264,0.452935483870968,0.887,"GO terms - Consensus (no BG)"
"GO:0016043",12,"GO:0071840",143.197061476973,6878,"cellular component organization","cellular component organization or biogenesis",0.900268656716418,0.509083333333333,0.881,"GO terms - Consensus (no BG)"
"GO:0019222",28,"GO:0043170",137.12726138872,6819,"regulation of metabolic process","macromolecule metabolic process",0.834654228855721,0.359038461538462,0.533,"GO terms - Consensus (no BG)"
"GO:0051179",2,"GO:0051179",136.50490469653,5499,"localization","localization",0.945046019900498,0.480891891891892,0,"GO terms - Consensus (with BG)"
"GO:0016070",15,"GO:0006139",125.799673748521,4400,"RNA metabolic process","nucleobase-containing compound metabolic process",0.836927860696517,0.418548387096774,0.849,"GO terms - Consensus (no BG)"
"GO:0060255",28,"GO:0043170",124.457960314243,6285,"regulation of macromolecule metabolic process","macromolecule metabolic process",0.818,0.332,0.694,"GO terms - Consensus (no BG)"
"GO:0031323",28,"GO:0043170",124.095444134311,6047,"regulation of cellular metabolic process","macromolecule metabolic process",0.812869402985075,0.336884615384615,0.509,"GO terms - GOseq only"
"GO:0051234",2,"GO:0051179",122.549224277201,4819,"establishment of localization","localization",0.942886815920398,0.45527027027027,0.866,"GO terms - Consensus (with BG)"
"GO:0080090",28,"GO:0043170",118.067353967918,5641,"regulation of primary metabolic process","macromolecule metabolic process",0.818508706467662,0.3535,0.487,"GO terms - Consensus (no BG)"
"GO:0009059",28,"GO:0043170",112.27929741021,7055,"macromolecule biosynthetic process","macromolecule metabolic process",0.842191542288557,0.400807692307692,0.708,"GO terms - Consensus (no BG)"
"GO:0006810",2,"GO:0051179",112.183358174484,4516,"transport","localization",0.942416666666667,0.447243243243243,0.853,"GO terms - Consensus (no BG)"
"GO:0043412",8,"GO:0043412",109.454159316574,3105,"macromolecule modification","macromolecule modification",0.876514925373134,0.412486486486486,0,"GO terms - Consensus (no BG)"
"GO:0016071",15,"GO:0006139",33.8610366320937,768,"mRNA metabolic process","nucleobase-containing compound metabolic process",0.853925373134328,0.38058064516129,0.612,"GO terms - g:Profiler only (no BG)"
"GO:0006397",15,"GO:0006139",31.3497676373134,508,"mRNA processing","nucleobase-containing compound metabolic process",0.83180223880597,0.348,0.568,"GO terms - g:Profiler only (no BG)"
"GO:0006259",4,"GO:0006259",27.7017418599641,978,"DNA metabolic process","DNA metabolic process",0.839957711442786,0.331595238095238,0,"GO terms - g:Profiler only (no BG)"
"GO:0008380",14,"GO:0008380",26.5788198947868,464,"RNA splicing","RNA splicing",0.837905472636816,0.274611111111111,0,"GO terms - g:Profiler only (no BG)"
"GO:0034654",15,"GO:0006139",25.2107758396896,4589,"nucleobase-containing compound biosynthetic process","nucleobase-containing compound metabolic process",0.836371890547264,0.440225806451613,0.847,"GO terms - g:Profiler only (no BG)"
"GO:0006974",3,"GO:0006974",22.6445660522453,907,"DNA damage response","DNA damage response",0.9135,0.342095238095238,0,"GO terms - g:Profiler only (no BG)"
"GO:0032774",15,"GO:0006139",22.4795398951389,4193,"RNA biosynthetic process","nucleobase-containing compound metabolic process",0.81369776119403,0.407516129032258,0.834,"GO terms - g:Profiler only (no BG)"
"GO:0043484",14,"GO:0008380",22.4795398951389,194,"regulation of RNA splicing","RNA splicing",0.819583333333333,0.304277777777778,0.899,"GO terms - g:Profiler only (no BG)"
"GO:0010467",28,"GO:0043170",22.3806156488961,6616,"gene expression","macromolecule metabolic process",0.84106592039801,0.403307692307692,0.696,"GO terms - g:Profiler only (no BG)"
"GO:0050684",15,"GO:0006139",21.852005708623,149,"regulation of mRNA processing","nucleobase-containing compound metabolic process",0.818256218905473,0.365870967741936,0.48,"GO terms - g:Profiler only (no BG)"
"GO:0006325",26,"GO:0006325",21.7800950949845,1039,"chromatin organization","chromatin organization",0.917541044776119,0.304571428571429,0,"GO terms - g:Profiler only (no BG)"
"GO:0019219",28,"GO:0043170",21.6716631257695,3889,"regulation of nucleobase-containing compound metabolic process","macromolecule metabolic process",0.796762437810945,0.354115384615385,0.441,"GO terms - g:Profiler only (no BG)"
"GO:0007049",6,"GO:0007049",21.4773583618724,1716,"cell cycle","cell cycle",0.887797263681592,0.30525,0,"GO terms - g:Profiler only (no BG)"
"GO:0033554",3,"GO:0006974",20.4172969284857,1926,"cellular response to stress","DNA damage response",0.912710199004975,0.382714285714286,0.895,"GO terms - g:Profiler only (no BG)"
"GO:0000377",14,"GO:0008380",19.9391856504142,315,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","RNA splicing",0.842140547263682,0.280166666666667,0.961,"GO terms - g:Profiler only (no BG)"
"GO:0000375",14,"GO:0008380",19.9391856504142,315,"RNA splicing, via transesterification reactions","RNA splicing",0.841988805970149,0.28,0.962,"GO terms - g:Profiler only (no BG)"
"GO:0000398",14,"GO:0008380",19.9391856504142,315,"mRNA splicing, via spliceosome","RNA splicing",0.835259950248756,0.261555555555556,0.961,"GO terms - g:Profiler only (no BG)"
"GO:0006338",26,"GO:0006325",19.6027212887061,902,"chromatin remodeling","chromatin organization",0.918512437810945,0.295142857142857,0.974,"GO terms - g:Profiler only (no BG)"
"GO:0009889",28,"GO:0043170",19.5943891076428,5439,"regulation of biosynthetic process","macromolecule metabolic process",0.820592039800995,0.298730769230769,0.49,"GO terms - g:Profiler only (no BG)"
"GO:0010556",28,"GO:0043170",19.4720615799546,5229,"regulation of macromolecule biosynthetic process","macromolecule metabolic process",0.792600746268657,0.275115384615385,0.65,"GO terms - g:Profiler only (no BG)"
"GO:0051252",28,"GO:0043170",19.4515428791194,3586,"regulation of RNA metabolic process","macromolecule metabolic process",0.788713930348259,0.331038461538462,0.576,"GO terms - g:Profiler only (no BG)"
"GO:0022402",6,"GO:0007049",19.3838894711326,1327,"cell cycle process","cell cycle",0.884379353233831,0.280472222222222,0.949,"GO terms - g:Profiler only (no BG)"
"GO:0048523",7,"GO:0048523",18.9799814062533,5402,"negative regulation of cellular process","negative regulation of cellular process",0.882667910447761,0.412714285714286,0,"GO terms - g:Profiler only (no BG)"
"GO:0009057",9,"GO:0009057",18.8624043115217,1574,"macromolecule catabolic process","macromolecule catabolic process",0.883965174129353,0.263695652173913,0,"GO terms - g:Profiler only (no BG)"
"GO:0009892",7,"GO:0048523",18.7070685250295,3252,"negative regulation of metabolic process","negative regulation of cellular process",0.824191542288557,0.280928571428571,0.722,"GO terms - g:Profiler only (no BG)"
"GO:0010468",28,"GO:0043170",18.654477160675,5105,"regulation of gene expression","macromolecule metabolic process",0.791726368159204,0.275846153846154,0.646,"GO terms - g:Profiler only (no BG)"
"GO:0006281",3,"GO:0006974",18.4190726276898,596,"DNA repair","DNA damage response",0.793220149253731,0.323190476190476,0.93,"GO terms - g:Profiler only (no BG)"
"GO:1903311",15,"GO:0006139",18.1704016247976,320,"regulation of mRNA metabolic process","nucleobase-containing compound metabolic process",0.822307213930348,0.383032258064516,0.54,"GO terms - g:Profiler only (no BG)"
"GO:0048024",15,"GO:0006139",18.1179952824065,123,"regulation of mRNA splicing, via spliceosome","nucleobase-containing compound metabolic process",0.812405472636816,0.373,0.47,"GO terms - g:Profiler only (no BG)"
"GO:0010604",28,"GO:0043170",18.0835243619996,3500,"positive regulation of macromolecule metabolic process","macromolecule metabolic process",0.813955223880597,0.328,0.575,"GO terms - g:Profiler only (no BG)"
"GO:0010605",7,"GO:0048523",17.7204682179369,3008,"negative regulation of macromolecule metabolic process","negative regulation of cellular process",0.809439054726368,0.275214285714286,0.71,"GO terms - g:Profiler only (no BG)"
"GO:0009893",28,"GO:0043170",17.6506633338257,3842,"positive regulation of metabolic process","macromolecule metabolic process",0.829031094527363,0.351038461538462,0.439,"GO terms - g:Profiler only (no BG)"
"GO:0001732",21,"GO:0001732",17.4281085974196,15,"formation of cytoplasmic translation initiation complex","formation of cytoplasmic translation initiation complex",0.846069651741294,0.306222222222222,0,"GO terms - g:Profiler only (no BG)"
"GO:0006396",14,"GO:0008380",17.3756434986195,950,"RNA processing","RNA splicing",0.828345771144279,0.2945,0.906,"GO terms - g:Profiler only (no BG)"
"GO:0048519",7,"GO:0048523",17.2847386034968,5908,"negative regulation of biological process","negative regulation of cellular process",0.902965174129353,0.423071428571429,0.87,"GO terms - g:Profiler only (no BG)"
"GO:1903241",11,"GO:1903241",17.2654341921568,6,"U2-type prespliceosome assembly","U2-type prespliceosome assembly",0.830689054726368,0.418916666666667,0,"GO terms - g:Profiler only (no BG)"
"GO:0051726",6,"GO:0007049",16.6701243636012,1113,"regulation of cell cycle","cell cycle",0.845710199004975,0.253291666666667,0.898,"GO terms - g:Profiler only (no BG)"
"GO:0002183",21,"GO:0001732",15.7828127456867,45,"cytoplasmic translational initiation","formation of cytoplasmic translation initiation complex",0.887822139303483,0.247,0.909,"GO terms - g:Profiler only (no BG)"
"GO:0045935",28,"GO:0043170",15.5833168951559,2055,"positive regulation of nucleobase-containing compound metabolic process","macromolecule metabolic process",0.796949004975124,0.350115384615385,0.368,"GO terms - g:Profiler only (no BG)"
"GO:0009890",7,"GO:0048523",15.5588280343292,2492,"negative regulation of biosynthetic process","negative regulation of cellular process",0.811909203980099,0.269857142857143,0.685,"GO terms - g:Profiler only (no BG)"
"GO:0010558",7,"GO:0048523",15.4846573113436,2405,"negative regulation of macromolecule biosynthetic process","negative regulation of cellular process",0.787058457711443,0.261357142857143,0.736,"GO terms - g:Profiler only (no BG)"
