"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability","origin"
"GO:0043231",16,"GO:0043231",292.831036114154,12001,"intracellular membrane-bounded organelle","intracellular membrane-bounded organelle",0.875121338912134,0.746,0,"GO terms - Consensus (no BG)"
"GO:0005634",16,"GO:0043231",208.849033668148,7474,"nucleus","intracellular membrane-bounded organelle",0.82447280334728,0.746,0.508,"GO terms - Consensus (no BG)"
"GO:0005737",2,"GO:0005737",175.223912880296,11967,"cytoplasm","cytoplasm",0.928753138075314,0.8,0,"GO terms - Consensus (with BG)"
"GO:0016020",3,"GO:0016020",155.685044216849,9798,"membrane","membrane",0.984125523012552,1,0,"GO terms - Consensus (with BG)"
"GO:1990904",20,"GO:1990904",145.203324658205,878,"ribonucleoprotein complex","ribonucleoprotein complex",0.759803347280335,0.372111111111111,0,"GO terms - Consensus (no BG)"
"GO:0043228",11,"GO:0043228",141.095365495793,4969,"non-membrane-bounded organelle","non-membrane-bounded organelle",0.832962343096234,0.489615384615385,0,"GO terms - Consensus (no BG)"
"GO:0043232",11,"GO:0043228",140.75640465121,4967,"intracellular non-membrane-bounded organelle","non-membrane-bounded organelle",0.823569037656904,0.489538461538462,0.889,"GO terms - Consensus (no BG)"
"GO:0005829",2,"GO:0005737",120.372449420643,4249,"cytosol","cytoplasm",0.94126359832636,0.8,0.4,"GO terms - Consensus (no BG)"
"GO:0005654",18,"GO:0005654",81.7999912374723,3864,"nucleoplasm","nucleoplasm",0.798154811715481,0.368714285714286,0,"GO terms - g:Profiler only (no BG)"
"GO:0005622",1,"GO:0005622",63.2616942179421,14808,"intracellular anatomical structure","intracellular anatomical structure",0.945037656903766,1,0,"GO terms - g:Profiler only (with BG)"
"GO:0005694",8,"GO:0005694",62.9444850769055,1493,"chromosome","chromosome",0.796456066945607,0.364166666666667,0,"GO terms - g:Profiler only (no BG)"
"GO:0031981",18,"GO:0005654",62.6446302464732,4391,"nuclear lumen","nucleoplasm",0.797774058577406,0.343,0.874,"GO terms - g:Profiler only (no BG)"
"GO:0070013",18,"GO:0005654",57.7033920577542,4954,"intracellular organelle lumen","nucleoplasm",0.848924686192469,0.347714285714286,0.843,"GO terms - g:Profiler only (no BG)"
"GO:0043233",18,"GO:0005654",57.7033920577542,4955,"organelle lumen","nucleoplasm",0.859200836820084,0.347714285714286,0.843,"GO terms - g:Profiler only (no BG)"
"GO:0031974",18,"GO:0005654",57.7033920577542,4955,"membrane-enclosed lumen","nucleoplasm",0.909753138075314,0.347714285714286,0.843,"GO terms - g:Profiler only (no BG)"
"GO:0005684",20,"GO:1990904",53.5013308785178,115,"U2-type spliceosomal complex","ribonucleoprotein complex",0.69173640167364,0.362037037037037,0.774,"GO terms - g:Profiler only (no BG)"
"GO:0140513",5,"GO:0140513",49.3987466156798,1290,"nuclear protein-containing complex","nuclear protein-containing complex",0.655543933054393,0.46705,0,"GO terms - g:Profiler only (no BG)"
"GO:0005681",20,"GO:1990904",49.1207234637059,234,"spliceosomal complex","ribonucleoprotein complex",0.671824267782427,0.340851851851852,0.851,"GO terms - g:Profiler only (no BG)"
"GO:1902494",6,"GO:1902494",47.7428115374933,1847,"catalytic complex","catalytic complex",0.724761506276151,0.409529411764706,0,"GO terms - g:Profiler only (no BG)"
"GO:0000785",8,"GO:0005694",45.3330347442004,821,"chromatin","chromosome",0.796995815899582,0.378208333333333,0.882,"GO terms - g:Profiler only (no BG)"
"GO:0016604",27,"GO:0016604",41.4283560100778,870,"nuclear body","nuclear body",0.821439330543933,0.377833333333333,0,"GO terms - g:Profiler only (no BG)"
"GO:0098687",8,"GO:0005694",35.4565800860984,390,"chromosomal region","chromosome",0.817543933054393,0.383625,0.795,"GO terms - g:Profiler only (no BG)"
"GO:0071011",20,"GO:1990904",33.9731255067492,62,"precatalytic spliceosome","ribonucleoprotein complex",0.711376569037657,0.406962962962963,0.713,"GO terms - g:Profiler only (no BG)"
"GO:0071005",20,"GO:1990904",33.3504107068416,60,"U2-type precatalytic spliceosome","ribonucleoprotein complex",0.712757322175732,0.395074074074074,0.702,"GO terms - g:Profiler only (no BG)"
"GO:0071013",20,"GO:1990904",32.4891696702249,121,"catalytic step 2 spliceosome","ribonucleoprotein complex",0.66610460251046,0.381148148148148,0.765,"GO terms - g:Profiler only (no BG)"
