"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability","origin"
"GO:0097159",6,"GO:0097159",278.680676775515,5604,"organic cyclic compound binding","organic cyclic compound binding",0.861632075471698,0.5436,0,"GO terms - GOseq only"
"GO:1901363",2,"GO:1901363",273.918814587649,2256,"heterocyclic compound binding","heterocyclic compound binding",0.899787735849057,0.435846153846154,0,"GO terms - Consensus (no BG)"
"GO:0043167",2,"GO:1901363",223.200736225207,5504,"ion binding","heterocyclic compound binding",0.901339622641509,0.387153846153846,0.736,"GO terms - Consensus (with BG)"
"GO:0005515",23,"GO:0005515",196.307966334192,9754,"protein binding","protein binding",0.916485849056604,0.7945,0,"GO terms - Consensus (no BG)"
"GO:0003824",1,"GO:0003824",185.344617071408,5643,"catalytic activity","catalytic activity",0.873957547169811,0.58,0,"GO terms - Consensus (with BG)"
"GO:0003676",6,"GO:0097159",171.06540201657,3488,"nucleic acid binding","organic cyclic compound binding",0.851811320754717,0.4861,0.81,"GO terms - Consensus (no BG)"
"GO:0043168",2,"GO:1901363",137.558084146822,2405,"anion binding","heterocyclic compound binding",0.905603773584906,0.392615384615385,0.648,"GO terms - Consensus (no BG)"
"GO:0036094",2,"GO:1901363",131.59576454332,5724,"small molecule binding","heterocyclic compound binding",0.901740566037736,0.403076923076923,0.749,"GO terms - Consensus (with BG)"
"GO:0003723",4,"GO:0003723",127.040391906276,1223,"RNA binding","RNA binding",0.846900943396226,0.394590909090909,0,"GO terms - Consensus (no BG)"
"GO:1901265",5,"GO:1901265",126.191207292381,2112,"nucleoside phosphate binding","nucleoside phosphate binding",0.863490566037736,0.2795,0,"GO terms - Consensus (no BG)"
"GO:0000166",5,"GO:1901265",126.191207292381,2089,"nucleotide binding","nucleoside phosphate binding",0.836754716981132,0.27775,0.969,"GO terms - Consensus (no BG)"
"GO:0032555",29,"GO:0032555",120.273464443836,1820,"purine ribonucleotide binding","purine ribonucleotide binding",0.832683962264151,0.39175,0,"GO terms - Consensus (no BG)"
"GO:0032553",29,"GO:0032555",120.1462613676,1838,"ribonucleotide binding","purine ribonucleotide binding",0.832759433962264,0.391,0.974,"GO terms - Consensus (no BG)"
"GO:0017076",5,"GO:1901265",120.130889091355,1927,"purine nucleotide binding","nucleoside phosphate binding",0.83813679245283,0.271,0.954,"GO terms - Consensus (no BG)"
"GO:0035639",2,"GO:1901363",119.118801203808,1764,"purine ribonucleoside triphosphate binding","heterocyclic compound binding",0.83827358490566,0.402538461538462,0.913,"GO terms - Consensus (no BG)"
"GO:0043169",2,"GO:1901363",115.823197544164,3856,"cation binding","heterocyclic compound binding",0.904580188679245,0.370307692307692,0.673,"GO terms - Consensus (no BG)"
"GO:0046872",2,"GO:1901363",111.900395301272,3745,"metal ion binding","heterocyclic compound binding",0.905028301886792,0.371153846153846,0.667,"GO terms - Consensus (no BG)"
"GO:0003729",4,"GO:0003723",16.4184966662278,409,"mRNA binding","RNA binding",0.862622641509434,0.432772727272727,0.825,"GO terms - g:Profiler only (no BG)"
"GO:0003682",12,"GO:0003682",16.3228313366346,675,"chromatin binding","chromatin binding",0.951155660377359,0.381,0,"GO terms - g:Profiler only (no BG)"
"GO:0016853",17,"GO:0016853",15.8738831498038,193,"isomerase activity","isomerase activity",0.896617924528302,0.281,0,"GO terms - g:Profiler only (no BG)"
"GO:0042393",31,"GO:0042393",15.6728231090052,295,"histone binding","histone binding",0.943245283018868,1,0,"GO terms - g:Profiler only (no BG)"
"GO:0005524",5,"GO:1901265",13.7111112037806,1433,"ATP binding","nucleoside phosphate binding",0.835533018867925,0.278875,0.891,"GO terms - g:Profiler only (no BG)"
"GO:0030554",5,"GO:1901265",13.7079904477565,1586,"adenyl nucleotide binding","nucleoside phosphate binding",0.842962264150943,0.27425,0.913,"GO terms - g:Profiler only (no BG)"
"GO:0032559",5,"GO:1901265",13.188449220485,1480,"adenyl ribonucleotide binding","nucleoside phosphate binding",0.838080188679245,0.27625,0.901,"GO terms - g:Profiler only (no BG)"
"GO:0003743",5,"GO:1901265",12.674356270936,63,"translation initiation factor activity","nucleoside phosphate binding",0.902603773584906,0.7065,0.351,"GO terms - g:Profiler only (no BG)"
"GO:0043021",21,"GO:0043021",12.0120601565573,205,"ribonucleoprotein complex binding","ribonucleoprotein complex binding",0.933490566037736,0.3591,0,"GO terms - g:Profiler only (no BG)"
"GO:0004386",18,"GO:0004386",11.8228653011961,150,"helicase activity","helicase activity",0.905891509433962,0.447,0,"GO terms - g:Profiler only (no BG)"
"GO:0097367",29,"GO:0032555",11.8228653011961,2224,"carbohydrate derivative binding","purine ribonucleotide binding",0.939259433962264,0.398,0.936,"GO terms - g:Profiler only (no BG)"
"GO:0140097",11,"GO:0140097",11.0923299226657,239,"catalytic activity, acting on DNA","catalytic activity, acting on DNA",0.880603773584906,0.406333333333333,0,"GO terms - g:Profiler only (no BG)"
"GO:0003724",16,"GO:0003724",11.0161827082398,70,"RNA helicase activity","RNA helicase activity",0.901622641509434,0.5045,0,"GO terms - g:Profiler only (no BG)"
"GO:0016887",3,"GO:0016887",10.9572503034647,396,"ATP hydrolysis activity","ATP hydrolysis activity",0.894061320754717,0.4754,0,"GO terms - g:Profiler only (no BG)"
"GO:0008186",16,"GO:0003724",10.8545083091257,72,"ATP-dependent activity, acting on RNA","RNA helicase activity",0.995325471698113,0.5045,0.991,"GO terms - g:Profiler only (no BG)"
"GO:0044877",21,"GO:0043021",10.0715349741684,1643,"protein-containing complex binding","ribonucleoprotein complex binding",0.929528301886792,0.4444,0.759,"GO terms - g:Profiler only (no BG)"
"GO:0019899",7,"GO:0019899",9.87454894902278,2392,"enzyme binding","enzyme binding",0.915528301886792,0.4361,0,"GO terms - g:Profiler only (no BG)"
"GO:0140098",25,"GO:0140098",9.51193787292134,377,"catalytic activity, acting on RNA","catalytic activity, acting on RNA",0.903212264150943,0.616,0,"GO terms - g:Profiler only (no BG)"
"GO:0008134",9,"GO:0008134",8.23592674984529,711,"transcription factor binding","transcription factor binding",0.91575,0.29875,0,"GO terms - g:Profiler only (no BG)"
"GO:0003684",6,"GO:0097159",8.18812835635298,81,"damaged DNA binding","organic cyclic compound binding",0.891966981132076,0.5125,0.412,"GO terms - g:Profiler only (no BG)"
"GO:0030674",14,"GO:0030674",8.16873618313988,1155,"protein-macromolecule adaptor activity","protein-macromolecule adaptor activity",0.977320754716981,0.313142857142857,0,"GO terms - g:Profiler only (no BG)"
"GO:0003697",6,"GO:0097159",7.79289254304,123,"single-stranded DNA binding","organic cyclic compound binding",0.891716981132075,0.5976,0.444,"GO terms - g:Profiler only (no BG)"
"GO:0008094",11,"GO:0140097",7.7001502161633,117,"ATP-dependent activity, acting on DNA","catalytic activity, acting on DNA",0.886787735849057,0.38,0.917,"GO terms - g:Profiler only (no BG)"
"GO:0140096",1,"GO:0003824",7.65745142507944,2335,"catalytic activity, acting on a protein","catalytic activity",0.859400943396226,0.617666666666667,0.63,"GO terms - g:Profiler only (no BG)"
"GO:0016462",3,"GO:0016887",7.62150837538589,755,"pyrophosphatase activity","ATP hydrolysis activity",0.88338679245283,0.427,0.879,"GO terms - g:Profiler only (no BG)"
"GO:0016818",3,"GO:0016887",7.62150837538589,756,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","ATP hydrolysis activity",0.883334905660377,0.426866666666667,0.878,"GO terms - g:Profiler only (no BG)"
"GO:0016817",3,"GO:0016887",7.62150837538589,756,"hydrolase activity, acting on acid anhydrides","ATP hydrolysis activity",0.883316037735849,0.4268,0.878,"GO terms - g:Profiler only (no BG)"
"GO:0140297",9,"GO:0008134",7.5835592943226,543,"DNA-binding transcription factor binding","transcription factor binding",0.917174528301887,0.284875,0.948,"GO terms - g:Profiler only (no BG)"
"GO:0003677",6,"GO:0097159",7.55944594292808,2323,"DNA binding","organic cyclic compound binding",0.851367924528302,0.4422,0.746,"GO terms - g:Profiler only (no BG)"
