"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability","origin"
"GO:0009056",2,"GO:0009056",9.36608838259949,2746,"catabolic process","catabolic process",0.813818181818182,0.55675,0,"GO terms - Consensus (no BG)"
"GO:0043171",2,"GO:0009056",1.63329712784168,20,"peptide catabolic process","catabolic process",0.862090909090909,0.6605,0.539,"GO terms - GOseq only"
"GO:0072014",3,"GO:0072014",1.63329712784168,11,"proximal tubule development","proximal tubule development",0.649181818181818,0.356833333333333,0,"GO terms - GOseq only"
"GO:0072237",3,"GO:0072014",1.63329712784168,5,"metanephric proximal tubule development","proximal tubule development",0.589636363636364,0.247666666666667,0.962,"GO terms - GOseq only"
"GO:0072207",3,"GO:0072014",1.53862232219268,32,"metanephric epithelium development","proximal tubule development",0.587090909090909,0.243,0.705,"GO terms - GOseq only"
"GO:0072170",3,"GO:0072014",1.53862232219268,28,"metanephric tubule development","proximal tubule development",0.586636363636364,0.242166666666667,0.7,"GO terms - GOseq only"
"GO:0072243",3,"GO:0072014",1.53862232219268,27,"metanephric nephron epithelium development","proximal tubule development",0.583454545454545,0.236333333333333,0.733,"GO terms - GOseq only"
"GO:0072234",3,"GO:0072014",1.53862232219268,23,"metanephric nephron tubule development","proximal tubule development",0.58,0.23,0.759,"GO terms - GOseq only"
"GO:0006508",1,"GO:0006508",1.53165231073088,1891,"proteolysis","proteolysis",0.917090909090909,1,0,"GO terms - Consensus (no BG)"
"GO:0000272",2,"GO:0009056",1.43293749873761,40,"polysaccharide catabolic process","catabolic process",0.814090909090909,0.5445,0.564,"GO terms - GOseq only"
"GO:0016052",2,"GO:0009056",1.43293749873761,194,"carbohydrate catabolic process","catabolic process",0.797272727272727,0.50625,0.67,"GO terms - Consensus (no BG)"
