"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability","origin"
"GO:0043231",5,"GO:0043231",292.831036114154,12001,"intracellular membrane-bounded organelle","intracellular membrane-bounded organelle",0.824,0.746,0,"GO terms - Consensus (no BG)"
"GO:0005634",5,"GO:0043231",208.849033668148,7474,"nucleus","intracellular membrane-bounded organelle",0.8498,0.746,0.508,"GO terms - Consensus (no BG)"
"GO:0005737",2,"GO:0005737",175.223912880296,11967,"cytoplasm","cytoplasm",0.8733,0.8,0,"GO terms - Consensus (with BG)"
"GO:0016020",3,"GO:0016020",155.685044216849,9798,"membrane","membrane",0.9926,1,0,"GO terms - Consensus (with BG)"
"GO:1990904",7,"GO:1990904",145.203324658205,878,"ribonucleoprotein complex","ribonucleoprotein complex",1,1,0,"GO terms - Consensus (no BG)"
"GO:0043228",6,"GO:0043228",141.095365495793,4969,"non-membrane-bounded organelle","non-membrane-bounded organelle",0.8576,0.5555,0,"GO terms - Consensus (no BG)"
"GO:0043232",6,"GO:0043228",140.75640465121,4967,"intracellular non-membrane-bounded organelle","non-membrane-bounded organelle",0.8114,0.5555,0.889,"GO terms - Consensus (no BG)"
"GO:0005829",2,"GO:0005737",120.372449420643,4249,"cytosol","cytoplasm",0.9102,0.8,0.4,"GO terms - Consensus (no BG)"
"GO:0005622",1,"GO:0005622",63.2616942179421,14808,"intracellular anatomical structure","intracellular anatomical structure",0.8809,1,0,"GO terms - g:Profiler only (with BG)"
"GO:0110165",4,"GO:0110165",20.0237412869396,19485,"cellular anatomical entity","cellular anatomical entity",0.9862,1,0,"GO terms - g:Profiler only (with BG)"
