query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,fold_enrichment,depth,species_code,species_label
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0045665,GO:BP,negative regulation of neuron differentiation,92,11354,,IDA,CALR,1,23,hsapiens,hsapiens
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0045685,GO:BP,regulation of glial cell differentiation,92,11371,,ISS IEA,EPHA4,1,18,hsapiens,hsapiens
query_1,FALSE,1,2,92,2,0.021739130434782608,1,GO:0045727,GO:BP,positive regulation of translation,92,11407,,"IMP,IMP","DHX36,TRUB2",1,36,hsapiens,hsapiens
query_1,FALSE,1,4,92,4,0.043478260869565216,1,GO:0045732,GO:BP,positive regulation of protein catabolic process,92,11411,,"IMP,ISS,IMP,IMP IBA","ATG7,LRP2,STX5,CLU",1,21,hsapiens,hsapiens
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0045736,GO:BP,negative regulation of cyclin-dependent protein serine/threonine kinase activity,92,11414,,TAS,IPO5,1,55,hsapiens,hsapiens
query_1,FALSE,1,2,92,2,0.021739130434782608,1,GO:0045785,GO:BP,positive regulation of cell adhesion,92,11455,,"IMP,IMP","CALR,EPHA4",1,9,hsapiens,hsapiens
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0045786,GO:BP,negative regulation of cell cycle,92,11456,,TAS,IPO5,1,9,hsapiens,hsapiens
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0045787,GO:BP,positive regulation of cell cycle,92,11457,,IGI IEA,CALR,1,9,hsapiens,hsapiens
query_1,FALSE,1,3,92,3,0.03260869565217391,1,GO:0045807,GO:BP,positive regulation of endocytosis,92,11469,,"ISS IEA,ISS IEA,IGI ISS","CALR,ATAD1,CLU",1,22,hsapiens,hsapiens
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0045814,GO:BP,"negative regulation of gene expression, epigenetic",92,11474,,IBA,ZNFX1,1,33,hsapiens,hsapiens
query_1,FALSE,1,1,92,1,0.010869565217391304,1,GO:0045664,GO:BP,regulation of neuron differentiation,92,11353,,IDA,CALR,1,18,hsapiens,hsapiens
