query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,fold_enrichment,depth,species_code,species_label
query_1,TRUE,4.304390036005927e-10,2530,92,35,0.3804347826086957,0.01383399209486166,GO:0009056,GO:BP,catabolic process,25907,3218,,"ISO IEA,IBA IEA,IBA,IMP IGI ISO IEA,IDA IEA,ISS IEA,IDA ISO IBA IEA,IMP ISS ISO IBA IEA,ISO IBA IEA,IMP ISS ISO IBA IEA,IBA,IEA,IBA IEA,IDA,ISO IEA,IEA,ISS ISO,ISS IEA,ISO,ISO IC,IEA,IEA,IEA,ISO,ISS ISA IBA IEA,IMP,ISS IEA,IBA IEA,IEA,ISS IEA,IEA,IEA,IEA,ISS IBA IEA,ISS IEA","CASP7,PSMD7,CALR,NPC1,PGAM2,DHX36,SMOX,ACADM,ACADS,ATG7,SDSL,VPS18,ENPP3,CRYL1,GNS,PLCD4,SCP2,ALDH2,GSTM2,ECI3,MTRR,EPHA4,AIG1,CTRB1,CLPP,CASP1,PXDN,LIPH,ECH1,RIDA,CUL5,STX5,BOK,CLU,RYBP",3.8956221000171856,2,mmusculus,mmusculus
query_1,TRUE,4.304390036005927e-10,1406,92,27,0.29347826086956524,0.019203413940256046,GO:0006629,GO:BP,lipid metabolic process,25907,2334,,"IMP ISS IEA,ISO,IMP ISS ISO IBA IEA,IDA IEA,ISO IBA IEA,IMP,ISS IBA IEA,IDA ISS IBA IEA,IEA,IEA,IMP ISS IBA IEA,IBA IEA,IEA,TAS IEA,IDA ISS ISO IEA,IDA IEA,ISS ISO IBA IEA,ISS IEA,IGI IBA IEA,ISO IC,IBA IEA,IMP,IEA,ISS IBA IEA,IBA IEA,IEA,IEA","NPC1,ARF1,ACADM,CBR1,ACADS,ATG7,CBR4,RDH5,FNTB,SDSL,CHKB,MCAT,CRYL1,PLCD4,SCP2,HPGDS,ACLY,GSTM2,LIAS,ECI3,ACSF2,LRP2,AIG1,PTGR1,LIPH,ECH1,RIDA",5.407639619024058,3,mmusculus,mmusculus
query_1,TRUE,4.304390036005927e-10,898,92,22,0.2391304347826087,0.024498886414253896,GO:0019752,GO:BP,carboxylic acid metabolic process,25907,6004,,"ISS,IDA IEA,IEA,IMP ISS ISO IBA IEA,ISO IBA IEA,TAS IEA,ISS IBA IEA,IBA,IBA IEA,IDA,IDA IEA,ISS ISO,IDA IEA,ISS ISO IBA IEA,ISS,IGI IBA IEA,ISO IC,IEA,IBA IEA,IEA,ISS IBA IEA,IEA","NPC1,PGAM2,GFPT1,ACADM,ACADS,GFPT2,CBR4,SDSL,MCAT,PLOD3,CRYL1,SCP2,HPGDS,ACLY,GSTM2,LIAS,ECI3,MTRR,ACSF2,AIG1,PTGR1,ECH1",6.898833155805171,7,mmusculus,mmusculus
query_1,TRUE,4.388587090802724e-10,912,92,22,0.2391304347826087,0.02412280701754386,GO:0043436,GO:BP,oxoacid metabolic process,25907,10596,,"ISS,IDA IEA,IEA,IMP ISS ISO IBA IEA,ISO IBA IEA,TAS IEA,ISS IBA IEA,IBA,IBA IEA,IDA,IDA IEA,ISS ISO,IDA IEA,ISS ISO IBA IEA,ISS,IGI IBA IEA,ISO IC,IEA,IBA IEA,IEA,ISS IBA IEA,IEA","NPC1,PGAM2,GFPT1,ACADM,ACADS,GFPT2,CBR4,SDSL,MCAT,PLOD3,CRYL1,SCP2,HPGDS,ACLY,GSTM2,LIAS,ECI3,MTRR,ACSF2,AIG1,PTGR1,ECH1",6.792930015255531,6,mmusculus,mmusculus
query_1,TRUE,4.6469679755058433e-10,925,92,22,0.2391304347826087,0.023783783783783784,GO:0006082,GO:BP,organic acid metabolic process,25907,1943,,"ISS,IDA IEA,IEA,IMP ISS ISO IBA IEA,ISO IBA IEA,TAS IEA,ISS IBA IEA,IBA,IBA IEA,IDA,IDA IEA,ISS ISO,IDA IEA,ISS ISO IBA IEA,ISS,IGI IBA IEA,ISO IC,IEA,IBA IEA,IEA,ISS IBA IEA,IEA","NPC1,PGAM2,GFPT1,ACADM,ACADS,GFPT2,CBR4,SDSL,MCAT,PLOD3,CRYL1,SCP2,HPGDS,ACLY,GSTM2,LIAS,ECI3,MTRR,ACSF2,AIG1,PTGR1,ECH1",6.697461809635723,5,mmusculus,mmusculus
query_1,TRUE,4.702346888254354e-10,1762,92,29,0.31521739130434784,0.016458569807037457,GO:0044281,GO:BP,small molecule metabolic process,25907,10850,,"ISS IEA,IEA,IDA ISO IEA,ISS ISO IBA IEA,IMP ISS ISO IBA IEA,ISS,ISO IBA IEA,IBA TAS IEA,ISS IBA IEA,IEA,IBA,IBA IEA,IDA,IMP ISS IBA IEA,IDA IEA,ISS ISO,IEA,IDA IEA,ISS ISO IBA IEA,ISS,IGI IBA IEA,ISS IEA,ISO IC,IEA,IBA IEA,IMP,IEA,ISS IBA IEA,IEA","NPC1,GALT,PGAM2,GFPT1,ACADM,CBR1,ACADS,GFPT2,CBR4,RDH5,SDSL,MCAT,PLOD3,ENPP3,CRYL1,SCP2,ALDH2,HPGDS,ACLY,GSTM2,LIAS,COX11,ECI3,MTRR,ACSF2,LRP2,AIG1,PTGR1,ECH1",4.634697478162168,2,mmusculus,mmusculus
query_1,TRUE,1.3234696377733962e-8,436,92,15,0.16304347826086957,0.034403669724770644,GO:0006631,GO:BP,fatty acid metabolic process,25907,2335,,"IMP ISS ISO IBA IEA,ISO IBA IEA,ISS IBA IEA,IBA IEA,IEA,ISS ISO,IDA IEA,ISO IBA IEA,ISS,IGI IBA IEA,ISO IC,IBA IEA,IEA,ISS IBA IEA,IEA","ACADM,ACADS,CBR4,MCAT,CRYL1,SCP2,HPGDS,ACLY,GSTM2,LIAS,ECI3,ACSF2,AIG1,PTGR1,ECH1",9.687998603909055,12,mmusculus,mmusculus
query_1,TRUE,3.5856148025505156e-8,649,92,17,0.18478260869565216,0.026194144838212634,GO:0032787,GO:BP,monocarboxylic acid metabolic process,25907,7765,,"ISS,IDA IEA,IMP ISS ISO IBA IEA,ISO IBA IEA,ISS IBA IEA,IBA IEA,IDA IEA,ISS ISO,IDA IEA,ISO IBA IEA,ISS,IGI IBA IEA,ISO IC,IBA IEA,IEA,ISS IBA IEA,IEA","NPC1,PGAM2,ACADM,ACADS,CBR4,MCAT,CRYL1,SCP2,HPGDS,ACLY,GSTM2,LIAS,ECI3,ACSF2,AIG1,PTGR1,ECH1",7.376214242647551,8,mmusculus,mmusculus
query_1,TRUE,1.0744224948308859e-6,14192,92,77,0.8369565217391305,0.005425591882750846,GO:0008152,GO:BP,metabolic process,25907,3111,,"IEA,IDA ISO RCA IEA,IBA IEA,IMP IBA IEA,IDA IMP IGI ISS ISO IEA,IEA,IDA ISO IEA,ISO,IDA IMP ISS ISO IEA,IMP ISS ISO IBA IEA,IDA ISO IBA IEA,IMP ISS ISO IBA IEA,IDA ISS IEA,ISO IBA IEA,IDA IMP ISS ISO IBA IEA,IBA TAS IEA,ISS IBA IEA,IDA ISS IBA IEA,ISS IEA,IBA IEA,IMP ISS IBA IEA,IDA ISO IEA,IEA,IBA IEA,IDA IMP ISS IEA,IMP ISS IBA IEA,IDA IEA,ISO IEA,TAS IEA,IDA ISS ISO IEA,IMP ISS ISO IEA,IDA IEA,ISS ISO IBA IEA,ISS ISO IEA,IGI IBA IEA,ISS IEA,ISO IC,IBA IEA,IEA,IDA IGI ISS IEA,ISS IEA,IBA IEA,IMP ISS ISO IEA,ISS IEA,IMP,IEA,ISS IBA IEA,IDA ISO IBA IEA,ISS ISA IBA IEA,IDA IMP ISS ISO NAS IEA,ISS IEA,IBA IEA,ISS IBA IEA,ISS IEA,IMP ISS ISO IBA IEA,ISS IEA,IEA,IBA,IEA,IEA,IEA,ISS ISO IEA,IEA,IEA,ISO,IDA IBA IEA,IEA,IEA,IMP ISO IBA IEA,ISS IBA IEA,IMP ISS ISO IBA IEA,IDA ISS IBA IEA,IMP IBA,IMP,IMP IGI ISS ISO IBA IEA,ISS ISO IBA IEA,IDA IGI ISS ISO IBA IEA","TAF2,CASP7,PSMD7,CALR,NPC1,GALT,PGAM2,ARF1,DHX36,GFPT1,SMOX,ACADM,CBR1,ACADS,ATG7,GFPT2,CBR4,RDH5,FNTB,SDSL,CHKB,NFS1,VPS18,MCAT,PLOD3,ENPP3,CRYL1,GNS,PLCD4,SCP2,ALDH2,HPGDS,ACLY,GSTM2,LIAS,COX11,ECI3,SPG7,MTRR,EPHA4,RTCB,ACSF2,CDK9,PIM3,LRP2,AIG1,PTGR1,CTRB1,CLPP,CASP1,PXDN,LIPH,PUS10,TRUB2,EXO1,PPWD1,KLKB1,ZNFX1,ECH1,MRM3,PRSS8,RIDA,ANXA4,CUL5,AQP4,MGA,STX5,BOK,CRYAA,SON,CLU,RYBP,RWDD1,CNPY2,ELF1,CIR1,ARNT",1.5278348794176757,1,mmusculus,mmusculus
query_1,TRUE,3.0748930036826384e-6,12513,92,71,0.7717391304347826,0.0056740989371054104,GO:0044238,GO:BP,primary metabolic process,25907,10839,,"IEA,IDA ISO RCA IEA,IBA IEA,IBA IEA,IDA IMP ISS IEA,IEA,IDA ISO IEA,ISO,IDA IMP ISS IEA,ISS ISO IBA IEA,IMP ISS ISO IBA IEA,IDA IEA,ISO IBA IEA,IDA IMP ISS ISO IBA IEA,IBA TAS IEA,ISS IBA IEA,IDA ISS IBA IEA,ISS IEA,IBA IEA,IMP ISS IBA IEA,IDA ISO IEA,IEA,IBA IEA,IDA ISS IEA,IMP ISS IBA IEA,IEA,ISO IEA,TAS IEA,IDA ISS ISO IEA,IMP,IDA IEA,ISS ISO IBA IEA,ISS IEA,IGI IBA IEA,ISS IEA,ISO IC,IBA IEA,IEA,IDA IGI ISS IEA,ISS IEA,IBA IEA,IMP ISS ISO IEA,ISS IEA,IMP,IEA,ISS IBA IEA,IDA ISO IBA IEA,ISS ISA IBA IEA,IDA IMP ISS IEA,IBA IEA,ISS IBA IEA,ISS IEA,IMP ISS ISO IBA IEA,ISS IEA,IEA,IEA,IEA,IEA,ISS ISO IEA,IEA,IEA,IDA IBA IEA,IEA,IMP ISO IBA IEA,ISS IBA IEA,IMP ISS IBA IEA,IDA ISS IBA IEA,IMP IBA,IMP ISS ISO IBA IEA,ISS ISO IBA IEA,IDA IGI ISS ISO IBA IEA","TAF2,CASP7,PSMD7,CALR,NPC1,GALT,PGAM2,ARF1,DHX36,GFPT1,ACADM,CBR1,ACADS,ATG7,GFPT2,CBR4,RDH5,FNTB,SDSL,CHKB,NFS1,VPS18,MCAT,PLOD3,ENPP3,CRYL1,GNS,PLCD4,SCP2,ALDH2,HPGDS,ACLY,GSTM2,LIAS,COX11,ECI3,SPG7,MTRR,EPHA4,RTCB,ACSF2,CDK9,PIM3,LRP2,AIG1,PTGR1,CTRB1,CLPP,CASP1,LIPH,PUS10,TRUB2,EXO1,PPWD1,KLKB1,ECH1,MRM3,PRSS8,RIDA,ANXA4,CUL5,MGA,STX5,CRYAA,SON,CLU,RYBP,RWDD1,ELF1,CIR1,ARNT",1.597813925691194,2,mmusculus,mmusculus
